x, y
15.112855740922473, 2737.4301675977654
32.384690873405305, 3715.0837988826815
45.33856722276742, 5279.329608938548
56.13346418056919, 6843.575418994413
71.24631992149166, 8994.413407821228
88.5181550539745, 10754.189944134077
110.10794896957803, 13491.620111731843
131.69774288518155, 16033.519553072625
148.9695780176644, 18184.35754189944
159.76447497546616, 20530.72625698324
177.036310107949, 23072.62569832402
194.3081452404318, 26396.648044692734
209.4210009813543, 29134.0782122905
220.21589793915606, 32653.6312849162
235.32875368007853, 35586.592178770945
243.96467124631994, 38519.5530726257
254.7595682041217, 41452.513966480445
261.23650637880274, 44385.47486033519
274.1903827281649, 47513.96648044692
287.144259077527, 50642.45810055866
293.62119725220805, 53379.88826815642
302.2571148184495, 56117.31843575418
313.0520117762513, 59245.81005586592
326.00588812561335, 62178.77094972067
336.8007850834151, 65893.85474860335
354.072620215898, 68826.8156424581
364.86751717369975, 71564.24581005586
377.82139352306183, 74301.67597765362
388.6162904808636, 76648.04469273743
401.57016683022573, 79189.9441340782
414.52404317958786, 81145.25139664803
429.63689892051036, 83100.55865921787
451.2266928361139, 84664.80446927373
479.2934249263985, 85251.39664804468
496.5652600588813, 84078.2122905028
511.6781157998038, 83296.08938547486
533.2679097154073, 82122.90502793295
544.062806673209, 80754.18994413408
561.334641805692, 80949.72067039106
582.9244357212955, 81731.84357541898
608.8321884200196, 82513.96648044692
634.7399411187439, 84078.2122905028
664.9656526005889, 85055.8659217877
690.8734052993132, 86229.0502793296
716.7811579980373, 87206.70391061452
753.4838076545634, 88379.88826815641
779.3915603532876, 88184.35754189943
798.8223748773307, 87402.23463687151
822.5711481844946, 87402.23463687151
846.3199214916585, 88184.35754189943
865.7507360157017, 88770.94972067038
880.8635917566243, 89162.01117318435
900.2944062806674, 90530.72625698324
926.2021589793916, 91508.37988826814
952.1099116781159, 93659.21787709497
969.3817468105987, 95418.99441340781
995.2894995093229, 97569.83240223464
1023.3562315996076, 100698.32402234637
1042.7870461236507, 103435.75418994413
1062.217860647694, 105977.6536312849
1079.4896957801768, 108324.02234636871
1103.2384690873407, 110865.92178770949
1126.9872423945044, 113212.29050279329
1148.577036310108, 115363.12849162011
1176.6437684003927, 117513.96648044692
1204.7105004906773, 119469.27374301675
1228.4592737978412, 121229.0502793296
1256.5260058881256, 122988.82681564245
1288.910696761531, 124162.01117318435
1321.2953876349363, 125335.19553072625
1351.5210991167812, 125921.7877094972
1379.5878312070658, 126117.31843575418
1401.1776251226695, 127094.9720670391
1422.767419038273, 127877.09497206703
1448.675171736997, 128072.62569832402
1472.423945044161, 127681.56424581005
1498.3316977428854, 126899.44134078211
1517.7625122669285, 125921.7877094972
1541.5112855740924, 124944.13407821229
1563.1010794896958, 123379.88826815641
1582.531894013739, 122011.17318435754
1599.803729146222, 120642.45810055865
1614.9165848871444, 119273.74301675976
1625.711481844946, 118100.55865921787
1640.8243375858685, 116731.84357541898
1655.9371933267912, 115363.12849162011
1666.732090284593, 113994.41340782122
1684.0039254170756, 111843.57541899441
1703.4347399411188, 109301.67597765362
1720.7065750736017, 106368.71508379887
1735.8194308145241, 103631.28491620111
1755.2502453385673, 101089.38547486033
1772.5220804710502, 98743.01675977652
1785.4759568204124, 96396.64804469273
1802.747791952895, 93072.62569832402
1815.7016683022573, 89944.13407821229
1832.97350343474, 87206.70391061452
1848.0863591756627, 84469.27374301676
1861.0402355250246, 81340.78212290502
1873.9941118743868, 78994.41340782122
1882.6300294406283, 76452.51396648044
1897.7428851815507, 74106.14525139665
1915.0147203140334, 71368.71508379887
1927.9685966633956, 68631.28491620111
1936.604514229637, 66284.91620111732
1947.3994111874388, 62960.8938547486
1962.5122669283612, 60418.99441340782
1979.7841020608441, 56508.37988826815
1990.5789990186458, 53966.48044692737
2007.8508341511288, 49273.74301675977
2018.6457311089305, 47513.96648044692
2038.0765456329736, 42625.69832402234
2053.189401373896, 39497.20670391061
2066.143277723258, 36368.71508379888
2079.0971540726205, 33435.754189944135
2098.5279685966634, 28743.016759776536
2115.7998037291463, 24832.40223463687
2135.2306182531897, 20139.664804469274
2154.6614327772327, 15837.988826815641
2174.092247301276, 11145.251396648044
2200, 6061.45251396648